ABx,Mean,Cov,Sd,MFD,MFA,CFA,Fat,IntN,NFA,RFA,Opaque
1.04,457.9303246,0.580317783,265.7451107,1471.928215,0.688625571,0.296222007,0.001763923,0.031850962,0.008288161,0.005100338,0.022235577
1.92,565.3183624,0.481021177,271.930104,1227.042641,0.72254229,0.266610406,0.00050886,0.005728091,0.008459455,0.001878989,0.001146304
2,622.0696246,0.528460992,328.7395306,1069.450638,0.687036281,0.306688257,0.001691123,0.004511278,0.002299863,0.002284476,0.055639098
2.42,598.0591132,0.562076289,336.1548471,1149.78264,0.71590599,0.258299008,0.016880796,0.01607717,0.005188666,0.00372554,0.00562701
3.25,851.1696633,0.535426631,455.7389052,656.8432524,0.573117684,0.391763985,0.00670388,0.107671602,0.018130439,0.010284011,0.004037685
3.67,531.3056335,0.434619868,230.9159842,953.4839673,0.536895322,0.45743544,0.002300905,0.012138189,0.001040026,0.002328307,0.054154995
4,1037.895224,0.53108462,551.2101909,563.1959546,0.534583172,0.416198148,0.013129161,0.027586207,0.015654079,0.02043544,0.012068966
4.08,577.5129521,1.200630811,693.3798439,867.2243419,0.533686367,0.402538329,0.053211394,0.040770102,0.004980661,0.005583248,0.020385051
4.33,828.51751,0.503320603,417.0099324,765.9625212,0.656913174,0.320614177,0.006019412,0.009291521,0.00435406,0.012099177,0.023228804
4.58,870.3999576,0.652938141,568.3173305,545.4890221,0.459130321,0.489168475,0.01694299,0.006622517,0.01937906,0.015379154,0.022075055
4.67,721.0677578,0.507216242,365.7372786,815.2223969,0.620722785,0.366587516,0.007736064,0.076233184,0.001587116,0.003366518,0.013452915
5,1007.403377,0.499896859,503.597784,571.0957888,0.595269465,0.37250988,0.01698954,0.071786311,0.009244668,0.005986447,0.005008347
5.17,624.327639,0.529,330.269321,976.3583655,0.648762015,0.339651269,0.000807825,0.036688617,0.005543392,0.005235498,0.005644403
6,725.1246263,0.815876368,591.6120466,551.9847371,0.385073047,0.586874201,0.013533743,0.017391304,0.010302244,0.004216765,0.031884058
6.172,1352.009719,0.432695769,585.0088844,454.6736958,0.657660531,0.315537518,0.000856985,0.061895551,0.01271357,0.013231396,0.021276596
6.174,1176.185748,1.113218466,1309.351694,365.7728852,0.421974389,0.545502557,0.014062121,0.024096386,0.00381495,0.014645983,0.02811245
6.176,556.2737719,0.880026468,489.5356426,559.8923294,0.291581021,0.671455162,0.006972172,0.013927577,0.020933831,0.009057814,0.036211699
6.25,1602.326179,0.776825939,1244.728539,300.6910966,0.516566517,0.443691478,0.035102217,0.033222591,0.004143199,0.000496589,0.043189369
6.42,1520.624664,0.948435042,1442.213717,343.7606946,0.547288047,0.40661428,0.030605709,0.049107143,0.009758132,0.005733832,0.022321429
6.5,1553.961973,0.614131149,954.3364519,400.6506722,0.668297157,0.317215812,0.004586476,0.111607143,0.006220787,0.003679768,0.008928571
6.58,1683.712081,0.698456882,1176.000291,216.6247671,0.362645859,0.59913246,0.014869599,0.048245614,0.017538115,0.005813967,0.057017544
7,850.3260047,0.733466966,623.6860348,553.7557265,0.470880836,0.453003764,0.039218016,0.07804878,0.020909794,0.01598759,0.02601626
7.17,680.0097119,0.704786119,479.2614056,572.6905383,0.397693286,0.465726419,0.132199992,0.017211704,0.00177154,0.002608764,0.010327022
7.172,970.2392385,0.983271018,954.0081241,445.2064408,0.45784548,0.502237257,0.035608823,0.023474178,0.003660171,0.000648268,0.061032864
7.83,772.0016468,0.602095156,464.818452,458.1065871,0.364481733,0.56990063,0.061493469,0.02293578,0.003450635,0.000673533,0.066513761
8.25,1231.75013,1.719902507,2118.490137,245.3679388,0.303664947,0.62426219,0.063753477,0.028985507,0.007588964,0.000730422,0.019323671
8.67,1048.377852,1.263231856,1324.344299,497.9161627,0.538723776,0.417100655,0.000462645,0.046692607,0.012317197,0.031395727,0.003891051
8.83,1327.324163,0.815,1081.769193,282.8824059,0.386477483,0.549920945,0.035151456,0.023569024,0.014347225,0.014102891,0.043771044
8.92,613.567691,0.858164111,526.5417723,386.5264765,0.23538168,0.558666765,0.186329883,0.026128266,0.01504988,0.004571793,0.028503563
9.08,1285.427155,0.945235299,1215.031122,423.0239806,0.590055523,0.336482362,0.049877853,0.02617801,0.013754333,0.009829928,0.057591623
9.67,888.9975069,0.749364777,666.1834182,291.0276877,0.253700562,0.682343602,0.032215049,0.040752351,0.021027146,0.010713641,0.119122257
9.75,1203.716486,0.783840306,943.5214987,414.114795,0.527944924,0.372637772,0.086103056,0.042986425,0.004771923,0.008542325,0.011312217
10.33,3643.509781,0.989131493,3603.91027,143.9427958,0.582412195,0.308292479,0.103251669,0.143884892,0.004143399,0.001900258,0.028776978
10.67,909.6101764,0.902985835,821.3651049,240.5053968,0.207820318,0.71611611,0.059760009,0.052631579,0.014799272,0.00150429,0.015789474
10.92,1565.208325,0.766561767,1199.82886,393.5296622,0.676651435,0.286938047,0.029617343,0.105990783,0.004652152,0.002141023,0.023041475
12.75,1028.501315,1.065624647,1095.996351,219.2827536,0.209492435,0.737297852,0.033961729,0.02173913,0.018309522,0.000938462,0.02173913
15.07,1953.889774,0.914909588,1787.632488,170.1677369,0.338549204,0.545971973,0.093735996,0.0375,0.019563372,0.002179455,0.06875
16.25,1504.046998,1.455381158,2188.961661,172.0771565,0.264729459,0.559322781,0.15444525,0.031746032,0.017855499,0.003647011,0.03968254
